(24/03/2016,List((0.000219,0.000210)))
(21/02/2016,List((0.000294,0.000283)))
(18/06/2016,List((0.000329,0.000314)))
(19/02/2015,List((0.000147,0.000141)))
(20/01/2014,List((0.001341,0.000685)))
(11/06/2015,List((0.000160,0.000156)))
(08/06/2017,List((0.003591,0.003095)))
(16/01/2017,List((0.000212,0.000203)))
(14/03/2015,List((0.000144,0.000140)))
(12/03/2017,List((0.000229,0.000207)))
(19/07/2016,List((0.000255,0.000243)))
(05/01/2015,List((0.000166,0.000157)))
(26/07/2014,List((0.000216,0.000207)))
(24/10/2014,List((0.000261,0.000241)))
(20/06/2015,List((0.000213,0.000190)))
(30/03/2017,List((0.000329,0.000265)))
(28/01/2016,List((0.000500,0.000329)))
(21/10/2015,List((0.000120,0.000116)))
(14/08/2014,List((0.000148,0.000138)))
(18/12/2015,List((0.000160,0.000150)))
(31/05/2016,List((0.000240,0.000227)))
(12/08/2016,List((0.000240,0.000234)))
(13/02/2017,List((0.000211,0.000204)))
(31/05/2014,List((0.000362,0.000334)))
(27/07/2017,List((0.001872,0.001778)))
(01/01/2017,List((0.000228,0.000221)))
(03/06/2016,List((0.000240,0.000230)))
(01/04/2016,List((0.000233,0.000221)))
(11/07/2014,List((0.000275,0.000261)))
(30/11/2016,List((0.000217,0.000213)))
(17/08/2015,List((0.000151,0.000147)))
(07/06/2016,List((0.000240,0.000234)))
(23/02/2016,List((0.000284,0.000277)))
(17/09/2016,List((0.000251,0.000236)))
(20/09/2016,List((0.000236,0.000229)))
(12/04/2016,List((0.000242,0.000212)))
(21/03/2015,List((0.000134,0.000129)))
(28/01/2014,List((0.001403,0.001223)))
(09/09/2015,List((0.000134,0.000128)))
(07/04/2014,List((0.000471,0.000449)))
(31/12/2014,List((0.000187,0.000178)))
(03/03/2017,List((0.000213,0.000202)))
(09/12/2015,List((0.000152,0.000134)))
(01/11/2014,List((0.000239,0.000225)))
(06/12/2016,List((0.000215,0.000208)))
(04/06/2017,List((0.003496,0.003071)))
(25/06/2016,List((0.000297,0.000274)))
(13/11/2015,List((0.000133,0.000127)))
(09/09/2017,List((0.001645,0.001534)))
(12/10/2017,List((0.001096,0.001031)))
(25/10/2015,List((0.000119,0.000114)))
(23/05/2017,List((0.004031,0.003125)))
(17/09/2014,List((0.000299,0.000260)))
(14/10/2015,List((0.000122,0.000119)))
(02/11/2017,List((0.001185,0.001050)))
(23/01/2015,List((0.000157,0.000150)))
(07/10/2017,List((0.001129,0.001021)))
(30/10/2017,List((0.001228,0.001103)))
(14/09/2015,List((0.000126,0.000122)))
(23/03/2015,List((0.000139,0.000131)))
(26/12/2016,List((0.000234,0.000229)))
(13/06/2017,List((0.003432,0.003250)))
(05/11/2016,List((0.000224,0.000219)))
(24/01/2016,List((0.000193,0.000170)))
(17/10/2014,List((0.000261,0.000245)))
(20/07/2014,List((0.000246,0.000234)))
(09/02/2016,List((0.000296,0.000286)))
(06/06/2015,List((0.000159,0.000152)))
(11/03/2016,List((0.000247,0.000237)))
(24/02/2017,List((0.000211,0.000202)))
(07/09/2015,List((0.000133,0.000129)))
(22/07/2014,List((0.000237,0.000215)))
