(11/09/2014,List((0.000187,0.000204)))
(31/03/2014,List((0.000531,0.000505)))
(24/05/2014,List((0.000412,0.000427)))
(22/11/2017,List((0.001401,0.001823)))
(27/04/2014,List((0.000471,0.000440)))
(02/12/2016,List((0.000214,0.000216)))
(23/06/2014,List((0.000339,0.000326)))
(02/09/2016,List((0.000232,0.000235)))
(29/05/2015,List((0.000192,0.000178)))
(06/08/2015,List((0.000173,0.000168)))
(28/03/2016,List((0.000215,0.000215)))
(25/05/2017,List((0.003702,0.002994)))
(31/01/2016,List((0.000259,0.000277)))
(15/06/2017,List((0.003100,0.003043)))
(26/10/2014,List((0.000247,0.000249)))
(12/03/2015,List((0.000144,0.000143)))
(25/11/2014,List((0.000248,0.000243)))
(15/12/2014,List((0.000195,0.000188)))
(22/08/2017,List((0.001713,0.001716)))
(17/10/2016,List((0.000223,0.000221)))
(29/05/2017,List((0.002530,0.002732)))
(25/01/2015,List((0.000166,0.000166)))
(05/03/2015,List((0.000143,0.000141)))
(11/07/2016,List((0.000272,0.000267)))
(24/09/2014,List((0.000314,0.000348)))
(17/11/2015,List((0.000131,0.000133)))
(30/01/2017,List((0.000204,0.000208)))
(24/03/2016,List((0.000212,0.000213)))
(21/02/2016,List((0.000292,0.000285)))
(18/06/2016,List((0.000320,0.000324)))
(19/02/2015,List((0.000143,0.000146)))
(20/01/2014,List((0.000697,0.001253)))
(11/06/2015,List((0.000157,0.000160)))
(08/06/2017,List((0.003279,0.003574)))
(16/01/2017,List((0.000206,0.000207)))
(14/03/2015,List((0.000141,0.000144)))
(12/03/2017,List((0.000212,0.000229)))
(19/07/2016,List((0.000252,0.000245)))
(05/01/2015,List((0.000159,0.000161)))
(26/07/2014,List((0.000214,0.000208)))
(24/10/2014,List((0.000246,0.000251)))
(20/06/2015,List((0.000207,0.000210)))
(30/03/2017,List((0.000278,0.000304)))
(28/01/2016,List((0.000455,0.000344)))
(21/10/2015,List((0.000119,0.000117)))
(14/08/2014,List((0.000142,0.000146)))
(18/12/2015,List((0.000155,0.000155)))
(31/05/2016,List((0.000239,0.000231)))
(12/08/2016,List((0.000238,0.000239)))
(13/02/2017,List((0.000210,0.000208)))
(31/05/2014,List((0.000346,0.000339)))
(27/07/2017,List((0.001810,0.001856)))
(01/01/2017,List((0.000223,0.000228)))
(03/06/2016,List((0.000232,0.000238)))
(01/04/2016,List((0.000233,0.000224)))
(11/07/2014,List((0.000264,0.000273)))
(30/11/2016,List((0.000216,0.000214)))
(17/08/2015,List((0.000148,0.000150)))
(07/06/2016,List((0.000235,0.000240)))
(23/02/2016,List((0.000283,0.000280)))
(17/09/2016,List((0.000248,0.000236)))
(20/09/2016,List((0.000232,0.000232)))
(12/04/2016,List((0.000214,0.000229)))
(21/03/2015,List((0.000133,0.000131)))
(28/01/2014,List((0.001223,0.001357)))
(09/09/2015,List((0.000131,0.000130)))
(07/04/2014,List((0.000462,0.000458)))
(31/12/2014,List((0.000179,0.000187)))
(03/03/2017,List((0.000205,0.000211)))
(09/12/2015,List((0.000137,0.000142)))
(01/11/2014,List((0.000236,0.000228)))
(06/12/2016,List((0.000215,0.000212)))
(04/06/2017,List((0.003279,0.003179)))
(25/06/2016,List((0.000283,0.000284)))
(13/11/2015,List((0.000130,0.000130)))
(09/09/2017,List((0.001586,0.001568)))
(12/10/2017,List((0.001057,0.001062)))
(25/10/2015,List((0.000114,0.000116)))
(23/05/2017,List((0.003367,0.003562)))
(17/09/2014,List((0.000293,0.000268)))
(14/10/2015,List((0.000121,0.000120)))
(02/11/2017,List((0.001109,0.001151)))
(23/01/2015,List((0.000155,0.000156)))
(07/10/2017,List((0.001079,0.001066)))
(30/10/2017,List((0.001224,0.001151)))
(14/09/2015,List((0.000125,0.000125)))
(23/03/2015,List((0.000134,0.000137)))
(26/12/2016,List((0.000231,0.000233)))
(13/06/2017,List((0.003250,0.003313)))
(05/11/2016,List((0.000221,0.000222)))
(24/01/2016,List((0.000173,0.000193)))
(17/10/2014,List((0.000258,0.000250)))
(20/07/2014,List((0.000245,0.000240)))
(09/02/2016,List((0.000287,0.000292)))
(06/06/2015,List((0.000153,0.000158)))
(11/03/2016,List((0.000246,0.000241)))
(24/02/2017,List((0.000208,0.000208)))
(07/09/2015,List((0.000132,0.000130)))
(22/07/2014,List((0.000236,0.000220)))
(01/07/2017,List((0.002601,0.002645)))
(07/02/2016,List((0.000306,0.000285)))
(17/03/2014,List((0.000822,0.000779)))
(25/10/2017,List((0.001100,0.001056)))
(07/01/2017,List((0.000222,0.000221)))
(02/05/2016,List((0.000225,0.000229)))
